seqid	source	type	start	end	score	strand	phase	ID	Parent
2L	Davies et al. (2007)	CDS	2382270	2382398	.	+	1	5	Davies-C5N2
2L	Davies et al. (2007)	exon	2382270	2382398	.	+	.	5	Davies-C7N2
2L	Davies et al. (2007)	CDS	2382270	2382398	.	+	1	5	Davies-C7N2
2L	Davies et al. (2007)	exon	2382270	2382398	.	+	.	5	Davies-C8N2
2L	Davies et al. (2007)	CDS	2382270	2382398	.	+	1	5	Davies-C8N2
2L	Davies et al. (2007)	exon	2382270	2382398	.	+	.	5	Davies-C10N2
2L	Davies et al. (2007)	CDS	2382270	2382398	.	+	1	5	Davies-C10N2
2L	Davies et al. (2007)	exon	2382270	2382398	.	+	.	5	Davies-C11N2
2L	Davies et al. (2007)	CDS	2382270	2382398	.	+	1	5	Davies-C11N2
2L	Davies et al. (2007)	exon	2382270	2382398	.	+	.	5	Davies-C1N9
2L	Davies et al. (2007)	CDS	2382270	2382398	.	+	1	5	Davies-C1N9
2L	Davies et al. (2007)	exon	2382270	2382398	.	+	.	5	Davies-C8N9
2L	Davies et al. (2007)	CDS	2382270	2382398	.	+	1	5	Davies-C8N9
2L	Davies et al. (2007)	exon	2382270	2382398	.	+	.	5	Davies-C1N9ck
2L	Davies et al. (2007)	CDS	2382270	2382398	.	+	1	5	Davies-C1N9ck
2L	Davies et al. (2007)	exon	2385694	2385785	.	+	.	6	Davies-C1N2
2L	Davies et al. (2007)	CDS	2385694	2385785	.	+	1	6	Davies-C1N2
2L	Davies et al. (2007)	exon	2385694	2385785	.	+	.	6	Davies-C3N2
2L	Davies et al. (2007)	CDS	2385694	2385785	.	+	1	6	Davies-C3N2
2L	Davies et al. (2007)	exon	2385694	2385785	.	+	.	6	Davies-C5N2
2L	Davies et al. (2007)	CDS	2385694	2385785	.	+	1	6	Davies-C5N2
2L	Davies et al. (2007)	exon	2385694	2385785	.	+	.	6	Davies-C7N2
2L	Davies et al. (2007)	CDS	2385694	2385785	.	+	1	6	Davies-C7N2
2L	Davies et al. (2007)	exon	2385694	2385785	.	+	.	6	Davies-C8N2
2L	Davies et al. (2007)	CDS	2385694	2385785	.	+	1	6	Davies-C8N2
2L	Davies et al. (2007)	exon	2385694	2385785	.	+	.	6	Davies-C10N2
2L	Davies et al. (2007)	CDS	2385694	2385785	.	+	1	6	Davies-C10N2
2L	Davies et al. (2007)	exon	2385694	2385785	.	+	.	6	Davies-C11N2
2L	Davies et al. (2007)	CDS	2385694	2385785	.	+	1	6	Davies-C11N2
2L	Davies et al. (2007)	exon	2385694	2385785	.	+	.	6	Davies-C1N9
2L	Davies et al. (2007)	CDS	2385694	2385785	.	+	1	6	Davies-C1N9
2L	Davies et al. (2007)	exon	2385694	2385785	.	+	.	6	Davies-C8N9
2L	Davies et al. (2007)	CDS	2385694	2385785	.	+	1	6	Davies-C8N9
2L	Davies et al. (2007)	exon	2385694	2385785	.	+	.	6	Davies-C1N9ck
2L	Davies et al. (2007)	CDS	2385694	2385785	.	+	1	6	Davies-C1N9ck
2L	Davies et al. (2007)	exon	2390129	2390341	.	+	.	7	Davies-C1N2
2L	Davies et al. (2007)	CDS	2390129	2390341	.	+	2	7	Davies-C1N2
2L	Davies et al. (2007)	exon	2390129	2390341	.	+	.	7	Davies-C3N2
2L	Davies et al. (2007)	CDS	2390129	2390341	.	+	2	7	Davies-C3N2
2L	Davies et al. (2007)	exon	2390129	2390341	.	+	.	7	Davies-C5N2
2L	Davies et al. (2007)	CDS	2390129	2390341	.	+	2	7	Davies-C5N2
2L	Davies et al. (2007)	exon	2390129	2390341	.	+	.	7	Davies-C7N2
2L	Davies et al. (2007)	CDS	2390129	2390341	.	+	2	7	Davies-C7N2
2L	Davies et al. (2007)	exon	2390129	2390341	.	+	.	7	Davies-C8N2
2L	Davies et al. (2007)	CDS	2390129	2390341	.	+	2	7	Davies-C8N2
2L	Davies et al. (2007)	exon	2390129	2390341	.	+	.	7	Davies-C10N2
2L	Davies et al. (2007)	CDS	2390129	2390341	.	+	2	7	Davies-C10N2
2L	Davies et al. (2007)	exon	2390129	2390341	.	+	.	7	Davies-C11N2
2L	Davies et al. (2007)	CDS	2390129	2390341	.	+	2	7	Davies-C11N2
2L	Davies et al. (2007)	exon	2390129	2390341	.	+	.	7	Davies-C1N9
2L	Davies et al. (2007)	CDS	2390129	2390341	.	+	2	7	Davies-C1N9
2L	Davies et al. (2007)	exon	2390129	2390341	.	+	.	7	Davies-C8N9
2L	Davies et al. (2007)	CDS	2390129	2390341	.	+	2	7	Davies-C8N9
2L	Davies et al. (2007)	exon	2390129	2390341	.	+	.	7	Davies-C1N9ck
2L	Davies et al. (2007)	CDS	2390129	2390341	.	+	2	7	Davies-C1N9ck
2L	Davies et al. (2007)	exon	2390425	2390485	.	+	.	8	Davies-C1N2
2L	Davies et al. (2007)	CDS	2390425	2390485	.	+	2	8	Davies-C1N2
2L	Davies et al. (2007)	exon	2390425	2390485	.	+	.	8	Davies-C3N2
2L	Davies et al. (2007)	CDS	2390425	2390485	.	+	2	8	Davies-C3N2
2L	Davies et al. (2007)	exon	2390425	2390485	.	+	.	8	Davies-C5N2
2L	Davies et al. (2007)	CDS	2390425	2390485	.	+	2	8	Davies-C5N2
2L	Davies et al. (2007)	exon	2390425	2390485	.	+	.	8	Davies-C7N2
2L	Davies et al. (2007)	CDS	2390425	2390485	.	+	2	8	Davies-C7N2
2L	Davies et al. (2007)	exon	2390425	2390485	.	+	.	8	Davies-C8N2
2L	Davies et al. (2007)	CDS	2390425	2390485	.	+	2	8	Davies-C8N2
2L	Davies et al. (2007)	exon	2390425	2390485	.	+	.	8	Davies-C10N2
2L	Davies et al. (2007)	CDS	2390425	2390485	.	+	2	8	Davies-C10N2
2L	Davies et al. (2007)	exon	2390425	2390485	.	+	.	8	Davies-C11N2
2L	Davies et al. (2007)	CDS	2390425	2390485	.	+	2	8	Davies-C11N2
2L	Davies et al. (2007)	exon	2390425	2390485	.	+	.	8	Davies-C1N9
2L	Davies et al. (2007)	CDS	2390425	2390485	.	+	2	8	Davies-C1N9
2L	Davies et al. (2007)	exon	2390425	2390485	.	+	.	8	Davies-C8N9
2L	Davies et al. (2007)	CDS	2390425	2390485	.	+	2	8	Davies-C8N9
2L	Davies et al. (2007)	exon	2390425	2390485	.	+	.	8	Davies-C1N9ck
2L	Davies et al. (2007)	CDS	2390425	2390485	.	+	2	8	Davies-C1N9ck
2L	Davies et al. (2007)	exon	2390594	2390738	.	+	.	9	Davies-C1N2
2L	Davies et al. (2007)	CDS	2390594	2390738	.	+	1	9	Davies-C1N2
2L	Davies et al. (2007)	exon	2390594	2390738	.	+	.	9	Davies-C3N2
2L	Davies et al. (2007)	CDS	2390594	2390738	.	+	1	9	Davies-C3N2
2L	Davies et al. (2007)	exon	2390594	2390738	.	+	.	9	Davies-C5N2
2L	Davies et al. (2007)	CDS	2390594	2390738	.	+	1	9	Davies-C5N2
2L	Davies et al. (2007)	exon	2390594	2390738	.	+	.	9	Davies-C7N2
2L	Davies et al. (2007)	CDS	2390594	2390738	.	+	1	9	Davies-C7N2
2L	Davies et al. (2007)	exon	2390594	2390738	.	+	.	9	Davies-C8N2
2L	Davies et al. (2007)	CDS	2390594	2390738	.	+	1	9	Davies-C8N2
2L	Davies et al. (2007)	exon	2390594	2390738	.	+	.	9	Davies-C10N2
2L	Davies et al. (2007)	CDS	2390594	2390738	.	+	1	9	Davies-C10N2
2L	Davies et al. (2007)	exon	2390594	2390738	.	+	.	9	Davies-C11N2
2L	Davies et al. (2007)	CDS	2390594	2390738	.	+	1	9	Davies-C11N2
2L	Davies et al. (2007)	exon	2390594	2390738	.	+	.	9	Davies-C1N9
2L	Davies et al. (2007)	CDS	2390594	2390738	.	+	1	9	Davies-C1N9
2L	Davies et al. (2007)	exon	2390594	2390738	.	+	.	9	Davies-C8N9
2L	Davies et al. (2007)	CDS	2390594	2390738	.	+	1	9	Davies-C8N9
2L	Davies et al. (2007)	exon	2390594	2390738	.	+	.	9	Davies-C1N9ck
2L	Davies et al. (2007)	CDS	2390594	2390738	.	+	1	9	Davies-C1N9ck
2L	Davies et al. (2007)	exon	2391156	2391320	.	+	.	10	Davies-C1N2
2L	Davies et al. (2007)	CDS	2391156	2391320	.	+	0	10	Davies-C1N2
2L	Davies et al. (2007)	exon	2391156	2391320	.	+	.	10	Davies-C3N2
2L	Davies et al. (2007)	CDS	2391156	2391320	.	+	0	10	Davies-C3N2
2L	Davies et al. (2007)	exon	2391156	2391320	.	+	.	10	Davies-C7N2
2L	Davies et al. (2007)	CDS	2391156	2391320	.	+	0	10	Davies-C7N2
2L	Davies et al. (2007)	exon	2391156	2391320	.	+	.	10	Davies-C8N2
2L	Davies et al. (2007)	CDS	2391156	2391320	.	+	0	10	Davies-C8N2
2L	Davies et al. (2007)	exon	2391156	2391320	.	+	.	10	Davies-C10N2
2L	Davies et al. (2007)	CDS	2391156	2391320	.	+	0	10	Davies-C10N2
2L	Davies et al. (2007)	exon	2391156	2391320	.	+	.	10	Davies-C11N2
2L	Davies et al. (2007)	CDS	2391156	2391320	.	+	0	10	Davies-C11N2
2L	Davies et al. (2007)	exon	2391156	2391320	.	+	.	10	Davies-C1N9
2L	Davies et al. (2007)	CDS	2391156	2391320	.	+	0	10	Davies-C1N9
2L	Davies et al. (2007)	exon	2391156	2391320	.	+	.	10	Davies-C8N9
2L	Davies et al. (2007)	CDS	2391156	2391320	.	+	0	10	Davies-C8N9
2L	Davies et al. (2007)	exon	2391156	2391320	.	+	.	10	Davies-C1N9ck
2L	Davies et al. (2007)	CDS	2391156	2391320	.	+	0	10	Davies-C1N9ck
2L	Davies et al. (2007)	exon	2399898	2400173	.	+	.	11i+	Davies-C1N2
2L	Davies et al. (2007)	CDS	2399898	2400173	.	+	0	11i+	Davies-C1N2
2L	Davies et al. (2007)	exon	2399898	2400173	.	+	.	11i+	Davies-C3N2
2L	Davies et al. (2007)	CDS	2399898	2400173	.	+	0	11i+	Davies-C3N2
2L	Davies et al. (2007)	exon	2399898	2400173	.	+	.	11i+	Davies-C5N2
2L	Davies et al. (2007)	CDS	2399898	2400173	.	+	0	11i+	Davies-C5N2
2L	Davies et al. (2007)	exon	2399898	2400173	.	+	.	11i+	Davies-C7N2
2L	Davies et al. (2007)	CDS	2399898	2400173	.	+	0	11i+	Davies-C7N2
2L	Davies et al. (2007)	exon	2399898	2400173	.	+	.	11i+	Davies-C8N2
2L	Davies et al. (2007)	CDS	2399898	2400173	.	+	0	11i+	Davies-C8N2
2L	Davies et al. (2007)	exon	2399898	2400173	.	+	.	11i+	Davies-C10N2
2L	Davies et al. (2007)	CDS	2399898	2400173	.	+	0	11i+	Davies-C10N2
2L	Davies et al. (2007)	exon	2399898	2400173	.	+	.	11i+	Davies-C11N2
2L	Davies et al. (2007)	CDS	2399898	2400173	.	+	0	11i+	Davies-C11N2
2L	Davies et al. (2007)	exon	2399898	2400173	.	+	.	11i+	Davies-C1N9
2L	Davies et al. (2007)	CDS	2399898	2400173	.	+	0	11i+	Davies-C1N9
2L	Davies et al. (2007)	exon	2399898	2400173	.	+	.	11i+	Davies-C8N9
2L	Davies et al. (2007)	CDS	2399898	2400173	.	+	0	11i+	Davies-C8N9
2L	Davies et al. (2007)	exon	2399898	2400173	.	+	.	11i+	Davies-C1N9ck
2L	Davies et al. (2007)	CDS	2399898	2400173	.	+	0	11i+	Davies-C1N9ck
2L	Davies et al. (2007)	exon	2401549	2401569	.	+	.	12	Davies-C1N2
2L	Davies et al. (2007)	CDS	2401549	2401569	.	+	0	12	Davies-C1N2
2L	Davies et al. (2007)	exon	2401549	2401569	.	+	.	12	Davies-C1N9
2L	Davies et al. (2007)	CDS	2401549	2401569	.	+	0	12	Davies-C1N9
2L	Davies et al. (2007)	exon	2401549	2401569	.	+	.	12	Davies-C1N9ck
2L	Davies et al. (2007)	CDS	2401549	2401569	.	+	0	12	Davies-C1N9ck
2L	Davies et al. (2007)	exon	2402447	2402509	.	+	.	13a	Davies-C1N2
2L	Davies et al. (2007)	CDS	2402447	2402509	.	+	0	13a	Davies-C1N2
2L	Davies et al. (2007)	exon	2402447	2402509	.	+	.	13a	Davies-C1N9
2L	Davies et al. (2007)	CDS	2402447	2402509	.	+	0	13a	Davies-C1N9
2L	Davies et al. (2007)	exon	2402447	2402509	.	+	.	13a	Davies-C1N9ck
2L	Davies et al. (2007)	CDS	2402447	2402509	.	+	0	13a	Davies-C1N9ck
2L	Davies et al. (2007)	exon	2403086	2403269	.	+	.	14	Davies-C1N2
2L	Davies et al. (2007)	CDS	2403086	2403269	.	+	0	14	Davies-C1N2
2L	Davies et al. (2007)	exon	2403086	2403269	.	+	.	14	Davies-C3N2
2L	Davies et al. (2007)	CDS	2403086	2403269	.	+	0	14	Davies-C3N2
2L	Davies et al. (2007)	exon	2403086	2403269	.	+	.	14	Davies-C5N2
2L	Davies et al. (2007)	CDS	2403086	2403269	.	+	0	14	Davies-C5N2
2L	Davies et al. (2007)	exon	2403086	2403269	.	+	.	14	Davies-C7N2
2L	Davies et al. (2007)	CDS	2403086	2403269	.	+	0	14	Davies-C7N2
2L	Davies et al. (2007)	exon	2403086	2403269	.	+	.	14	Davies-C8N2
2L	Davies et al. (2007)	CDS	2403086	2403269	.	+	0	14	Davies-C8N2
2L	Davies et al. (2007)	exon	2403086	2403269	.	+	.	14	Davies-C10N2
2L	Davies et al. (2007)	CDS	2403086	2403269	.	+	0	14	Davies-C10N2
2L	Davies et al. (2007)	exon	2403086	2403269	.	+	.	14	Davies-C11N2
2L	Davies et al. (2007)	CDS	2403086	2403269	.	+	0	14	Davies-C11N2
2L	Davies et al. (2007)	exon	2403086	2403269	.	+	.	14	Davies-C1N9
2L	Davies et al. (2007)	CDS	2403086	2403269	.	+	0	14	Davies-C1N9
2L	Davies et al. (2007)	exon	2403086	2403269	.	+	.	14	Davies-C8N9
2L	Davies et al. (2007)	CDS	2403086	2403269	.	+	0	14	Davies-C8N9
2L	Davies et al. (2007)	exon	2403086	2403269	.	+	.	14	Davies-C1N9ck
2L	Davies et al. (2007)	CDS	2403086	2403269	.	+	0	14	Davies-C1N9ck
2L	Davies et al. (2007)	exon	2407622	2407818	.	+	.	15	Davies-C1N2
2L	Davies et al. (2007)	CDS	2407622	2407818	.	+	2	15	Davies-C1N2
2L	Davies et al. (2007)	exon	2407622	2407818	.	+	.	15	Davies-C3N2
2L	Davies et al. (2007)	CDS	2407622	2407818	.	+	2	15	Davies-C3N2
2L	Davies et al. (2007)	exon	2407622	2407818	.	+	.	15	Davies-C5N2
2L	Davies et al. (2007)	CDS	2407622	2407818	.	+	2	15	Davies-C5N2
2L	Davies et al. (2007)	exon	2407622	2407818	.	+	.	15	Davies-C7N2
2L	Davies et al. (2007)	CDS	2407622	2407818	.	+	2	15	Davies-C7N2
2L	Davies et al. (2007)	exon	2407622	2407818	.	+	.	15	Davies-C8N2
2L	Davies et al. (2007)	CDS	2407622	2407818	.	+	2	15	Davies-C8N2
2L	Davies et al. (2007)	exon	2407622	2407818	.	+	.	15	Davies-C10N2
2L	Davies et al. (2007)	CDS	2407622	2407818	.	+	2	15	Davies-C10N2
2L	Davies et al. (2007)	exon	2407622	2407818	.	+	.	15	Davies-C11N2
2L	Davies et al. (2007)	CDS	2407622	2407818	.	+	2	15	Davies-C11N2
2L	Davies et al. (2007)	exon	2407622	2407818	.	+	.	15	Davies-C1N9
2L	Davies et al. (2007)	CDS	2407622	2407818	.	+	2	15	Davies-C1N9
2L	Davies et al. (2007)	exon	2407622	2407818	.	+	.	15	Davies-C8N9
2L	Davies et al. (2007)	CDS	2407622	2407818	.	+	2	15	Davies-C8N9
2L	Davies et al. (2007)	exon	2407622	2407818	.	+	.	15	Davies-C1N9ck
2L	Davies et al. (2007)	CDS	2407622	2407818	.	+	2	15	Davies-C1N9ck
2L	Davies et al. (2007)	exon	2407894	2407993	.	+	.	16	Davies-C1N2
2L	Davies et al. (2007)	CDS	2407894	2407993	.	+	0	16	Davies-C1N2
2L	Davies et al. (2007)	exon	2407894	2407993	.	+	.	16	Davies-C3N2
2L	Davies et al. (2007)	CDS	2407894	2407993	.	+	0	16	Davies-C3N2
2L	Davies et al. (2007)	exon	2407894	2407993	.	+	.	16	Davies-C5N2
2L	Davies et al. (2007)	CDS	2407894	2407993	.	+	0	16	Davies-C5N2
2L	Davies et al. (2007)	exon	2407894	2407993	.	+	.	16	Davies-C7N2
2L	Davies et al. (2007)	CDS	2407894	2407993	.	+	0	16	Davies-C7N2
2L	Davies et al. (2007)	exon	2407894	2407993	.	+	.	16	Davies-C8N2
2L	Davies et al. (2007)	CDS	2407894	2407993	.	+	0	16	Davies-C8N2
2L	Davies et al. (2007)	exon	2407894	2407993	.	+	.	16	Davies-C10N2
2L	Davies et al. (2007)	CDS	2407894	2407993	.	+	0	16	Davies-C10N2
2L	Davies et al. (2007)	exon	2407894	2407993	.	+	.	16	Davies-C11N2
2L	Davies et al. (2007)	CDS	2407894	2407993	.	+	0	16	Davies-C11N2
2L	Davies et al. (2007)	exon	2407894	2407993	.	+	.	16	Davies-C1N9
2L	Davies et al. (2007)	CDS	2407894	2407993	.	+	0	16	Davies-C1N9
2L	Davies et al. (2007)	exon	2407894	2407993	.	+	.	16	Davies-C8N9
2L	Davies et al. (2007)	CDS	2407894	2407993	.	+	0	16	Davies-C8N9
2L	Davies et al. (2007)	exon	2407894	2407993	.	+	.	16	Davies-C1N9ck
2L	Davies et al. (2007)	CDS	2407894	2407993	.	+	0	16	Davies-C1N9ck
2L	Davies et al. (2007)	exon	2408071	2408139	.	+	.	17	Davies-C1N2
2L	Davies et al. (2007)	CDS	2408071	2408139	.	+	2	17	Davies-C1N2
2L	Davies et al. (2007)	exon	2408071	2408139	.	+	.	17	Davies-C3N2
2L	Davies et al. (2007)	CDS	2408071	2408139	.	+	2	17	Davies-C3N2
2L	Davies et al. (2007)	exon	2408071	2408139	.	+	.	17	Davies-C5N2
2L	Davies et al. (2007)	CDS	2408071	2408139	.	+	2	17	Davies-C5N2
2L	Davies et al. (2007)	exon	2408071	2408139	.	+	.	17	Davies-C7N2
2L	Davies et al. (2007)	CDS	2408071	2408139	.	+	2	17	Davies-C7N2
2L	Davies et al. (2007)	exon	2408071	2408139	.	+	.	17	Davies-C8N2
2L	Davies et al. (2007)	CDS	2408071	2408139	.	+	2	17	Davies-C8N2
2L	Davies et al. (2007)	exon	2408071	2408139	.	+	.	17	Davies-C10N2
2L	Davies et al. (2007)	CDS	2408071	2408139	.	+	2	17	Davies-C10N2
2L	Davies et al. (2007)	exon	2408071	2408139	.	+	.	17	Davies-C11N2
2L	Davies et al. (2007)	CDS	2408071	2408139	.	+	2	17	Davies-C11N2
2L	Davies et al. (2007)	exon	2408071	2408139	.	+	.	17	Davies-C1N9
2L	Davies et al. (2007)	CDS	2408071	2408139	.	+	2	17	Davies-C1N9
2L	Davies et al. (2007)	exon	2408071	2408139	.	+	.	17	Davies-C8N9
2L	Davies et al. (2007)	CDS	2408071	2408139	.	+	2	17	Davies-C8N9
2L	Davies et al. (2007)	exon	2408071	2408139	.	+	.	17	Davies-C1N9ck
2L	Davies et al. (2007)	CDS	2408071	2408139	.	+	2	17	Davies-C1N9ck
2L	Davies et al. (2007)	exon	2416794	2417071	.	+	.	18b+	Davies-C1N2
2L	Davies et al. (2007)	CDS	2416794	2417071	.	+	2	18b+	Davies-C1N2
2L	Davies et al. (2007)	exon	2416794	2417071	.	+	.	18b+	Davies-C3N2
2L	Davies et al. (2007)	CDS	2416794	2417071	.	+	2	18b+	Davies-C3N2
2L	Davies et al. (2007)	exon	2416794	2417071	.	+	.	18b+	Davies-C5N2
2L	Davies et al. (2007)	CDS	2416794	2417071	.	+	2	18b+	Davies-C5N2
2L	Davies et al. (2007)	exon	2416794	2417071	.	+	.	18b+	Davies-C7N2
2L	Davies et al. (2007)	CDS	2416794	2417071	.	+	2	18b+	Davies-C7N2
2L	Davies et al. (2007)	exon	2416794	2417071	.	+	.	18b+	Davies-C8N2
2L	Davies et al. (2007)	CDS	2416794	2417071	.	+	2	18b+	Davies-C8N2
2L	Davies et al. (2007)	exon	2416794	2417071	.	+	.	18b+	Davies-C10N2
2L	Davies et al. (2007)	CDS	2416794	2417071	.	+	2	18b+	Davies-C10N2
2L	Davies et al. (2007)	exon	2416794	2417071	.	+	.	18b+	Davies-C11N2
2L	Davies et al. (2007)	CDS	2416794	2417071	.	+	2	18b+	Davies-C11N2
2L	Davies et al. (2007)	exon	2416794	2417071	.	+	.	18b+	Davies-C1N9
2L	Davies et al. (2007)	CDS	2416794	2417071	.	+	2	18b+	Davies-C1N9
2L	Davies et al. (2007)	exon	2416794	2417071	.	+	.	18b+	Davies-C8N9
2L	Davies et al. (2007)	CDS	2416794	2417071	.	+	2	18b+	Davies-C8N9
2L	Davies et al. (2007)	exon	2416794	2417071	.	+	.	18b+	Davies-C1N9ck
2L	Davies et al. (2007)	CDS	2416794	2417071	.	+	2	18b+	Davies-C1N9ck
